日志创建2021-06-27 余额10139764，获得银子：20000,来源代号出售红宝石，银子余额10159764
2021-06-27 [给予]给予(zhouhong1)银子：9500000
2021-06-27 余额379775，获得银子：6200000,来源代号给予，银子余额6579775
2021-06-27 [给予]获得(zhouhong1)银子：6200000
2021-06-27 获得经验：8281152,来源代号知了先锋
2021-06-27 余额108497141，获得储备：142572,来源代号知了先锋，储备余额108639713
2021-06-27 获得经验：8281152,来源代号知了先锋
2021-06-27 余额108639713，获得储备：142572,来源代号知了先锋，储备余额108782285
2021-06-27 获得经验：8281152,来源代号知了先锋
2021-06-27 余额108782285，获得储备：142572,来源代号知了先锋，储备余额108924857
2021-06-27 获得经验：8281152,来源代号知了先锋
2021-06-27 余额108924857，获得储备：142572,来源代号知了先锋，储备余额109067429
2021-06-27 获得经验：8661344,来源代号知了小王
2021-06-27 余额109067429，获得储备：166334,来源代号知了小王，储备余额109233763
2021-06-27 获得经验：8661344,来源代号知了小王
2021-06-27 余额109233763，获得储备：166334,来源代号知了小王，储备余额109400097
2021-06-27 获得经验：8661344,来源代号知了小王
2021-06-27 余额109400097，获得储备：166334,来源代号知了小王，储备余额109566431
2021-06-27 获得经验：8661344,来源代号知了小王
2021-06-27 余额109566431，获得储备：166334,来源代号知了小王，储备余额109732765
2021-06-27 获得经验：8661344,来源代号知了小王
2021-06-27 余额109732765，获得储备：166334,来源代号知了小王，储备余额109899099
2021-06-27 获得经验：8661344,来源代号知了小王
2021-06-27 余额109899099，获得储备：166334,来源代号知了小王，储备余额110065433
2021-06-27 获得经验：8661344,来源代号知了小王
2021-06-27 余额110065433，获得储备：166334,来源代号知了小王，储备余额110231767
2021-06-27 获得经验：8661344,来源代号知了小王
2021-06-27 余额110231767，获得储备：166334,来源代号知了小王，储备余额110398101
2021-06-27 获得经验：8661344,来源代号知了小王
2021-06-27 余额110398101，获得储备：166334,来源代号知了小王，储备余额110564435
2021-06-27 获得经验：8661344,来源代号知了小王
2021-06-27 余额110564435，获得储备：166334,来源代号知了小王，储备余额110730769
2021-06-27 [给予]给予(zhouhong1)银子：6000000
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额110730769，获得储备：190096,来源代号知了大王，储备余额110920865
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额110920865，获得储备：190096,来源代号知了大王，储备余额111110961
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额111110961，获得储备：190096,来源代号知了大王，储备余额111301057
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额111301057，获得储备：190096,来源代号知了大王，储备余额111491153
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额111491153，获得储备：190096,来源代号知了大王，储备余额111681249
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额111681249，获得储备：190096,来源代号知了大王，储备余额111871345
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额111871345，获得储备：190096,来源代号知了大王，储备余额112061441
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额112061441，获得储备：190096,来源代号知了大王，储备余额112251537
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额112251537，获得储备：190096,来源代号知了大王，储备余额112441633
2021-06-27 余额579775，获得银子：20000,来源代号出售符石卷轴，银子余额599775
2021-06-27 余额599775，获得银子：20000,来源代号出售附魔宝珠，银子余额619775
2021-06-27 余额619775，获得银子：20000,来源代号出售附魔宝珠，银子余额639775
2021-06-27 余额639775，获得银子：100000,来源代号出售魔兽要诀，银子余额739775
2021-06-27 余额739775，获得银子：10000,来源代号出售青龙石，银子余额749775
2021-06-27 余额749775，获得银子：10000,来源代号出售玄武石，银子余额759775
2021-06-27 余额759775，获得银子：50000,来源代号出售碎石锤，银子余额809775
2021-06-27 余额809775，获得银子：60000,来源代号出售超级金柳露，银子余额869775
2021-06-27 余额112441633，获得储备：1000000,来源代号大雁塔，储备余额113441633
2021-06-27 余额113441633，获得储备：2000000,来源代号大雁塔，储备余额115441633
2021-06-27 余额115441633，获得储备：3000000,来源代号大雁塔，储备余额118441633
2021-06-27 余额118441633，获得储备：4000000,来源代号大雁塔，储备余额122441633
2021-06-27 余额122441633，获得储备：5000000,来源代号大雁塔，储备余额127441633
2021-06-27 余额869775，获得银子：300000,来源代号大雁塔，银子余额1169775
2021-06-27 余额127441633，获得储备：6000000,来源代号大雁塔，储备余额133441633
2021-06-27 余额1169775，获得银子：360000,来源代号大雁塔，银子余额1529775
2021-06-27 余额133441633，获得储备：7000000,来源代号大雁塔，储备余额140441633
2021-06-27 余额1529775，获得银子：420000,来源代号大雁塔，银子余额1949775
