日志创建2021-06-27 获得经验：19033552,来源代号千年知了王
2021-06-27 获得经验：2851440,来源代号嘉年华
2021-06-27 余额1631398，获得银子：769878,来源代号嘉年华，银子余额2401276
2021-06-27 获得经验：171086400,来源代号嘉年华
2021-06-27 余额2401276，获得银子：10000,来源代号出售青龙石，银子余额2411276
2021-06-27 余额2411276，获得银子：100000,来源代号出售魔兽要诀，银子余额2511276
2021-06-27 余额2511276，获得银子：30000,来源代号出售怪物卡片，银子余额2541276
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额343645410，获得储备：190096,来源代号知了大王，储备余额343835506
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额343835506，获得储备：190096,来源代号知了大王，储备余额344025602
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额344025602，获得储备：190096,来源代号知了大王，储备余额344215698
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额344215698，获得储备：190096,来源代号知了大王，储备余额344405794
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额344405794，获得储备：190096,来源代号知了大王，储备余额344595890
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额344595890，获得储备：190096,来源代号知了大王，储备余额344785986
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额344785986，获得储备：190096,来源代号知了大王，储备余额344976082
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额344976082，获得储备：190096,来源代号知了大王，储备余额345166178
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额345166178，获得储备：190096,来源代号知了大王，储备余额345356274
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额345356274，获得储备：190096,来源代号知了大王，储备余额345546370
2021-06-27 获得经验：9516776,来源代号千年知了王
2021-06-27 余额345546370，获得储备：213858,来源代号千年知了王，储备余额345760228
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额345760228，获得储备：190096,来源代号知了大王，储备余额345950324
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额345950324，获得储备：190096,来源代号知了大王，储备余额346140420
2021-06-27 获得经验：9564300,来源代号知了统领
2021-06-27 余额346140420，获得储备：213858,来源代号知了统领，储备余额346354278
2021-06-27 获得经验：9564300,来源代号知了统领
2021-06-27 余额346354278，获得储备：213858,来源代号知了统领，储备余额346568136
2021-06-27 获得经验：9564300,来源代号知了统领
2021-06-27 余额346568136，获得储备：213858,来源代号知了统领，储备余额346781994
2021-06-27 获得经验：9564300,来源代号知了统领
2021-06-27 余额346781994，获得储备：213858,来源代号知了统领，储备余额346995852
2021-06-27 获得经验：9564300,来源代号知了统领
2021-06-27 余额346995852，获得储备：213858,来源代号知了统领，储备余额347209710
2021-06-27 获得经验：9564300,来源代号知了统领
2021-06-27 余额347209710，获得储备：213858,来源代号知了统领，储备余额347423568
2021-06-27 获得经验：9564300,来源代号知了统领
2021-06-27 余额347423568，获得储备：213858,来源代号知了统领，储备余额347637426
2021-06-27 获得经验：9564300,来源代号知了统领
2021-06-27 余额347637426，获得储备：213858,来源代号知了统领，储备余额347851284
2021-06-27 获得经验：8661344,来源代号知了小王
2021-06-27 余额347851284，获得储备：166334,来源代号知了小王，储备余额348017618
2021-06-27 获得经验：9564300,来源代号知了统领
2021-06-27 余额348017618，获得储备：213858,来源代号知了统领，储备余额348231476
2021-06-27 获得经验：9564300,来源代号知了统领
2021-06-27 余额348231476，获得储备：213858,来源代号知了统领，储备余额348445334
2021-06-27 获得经验：8661344,来源代号知了小王
2021-06-27 余额348445334，获得储备：166334,来源代号知了小王，储备余额348611668
2021-06-27 获得经验：8661344,来源代号知了小王
2021-06-27 余额348611668，获得储备：166334,来源代号知了小王，储备余额348778002
2021-06-27 获得经验：1425720,来源代号夏日炎炎
2021-06-27 获得经验：8281152,来源代号知了先锋
2021-06-27 余额348778002，获得储备：142572,来源代号知了先锋，储备余额348920574
2021-06-27 获得经验：1425720,来源代号夏日炎炎
2021-06-27 获得经验：1425720,来源代号夏日炎炎
2021-06-27 获得经验：1425720,来源代号夏日炎炎
2021-06-27 获得经验：1425720,来源代号夏日炎炎
2021-06-27 获得经验：8281152,来源代号知了先锋
2021-06-27 余额348920574，获得储备：142572,来源代号知了先锋，储备余额349063146
2021-06-27 获得经验：8281152,来源代号知了先锋
2021-06-27 余额349063146，获得储备：142572,来源代号知了先锋，储备余额349205718
2021-06-27 获得经验：8281152,来源代号知了先锋
2021-06-27 余额349205718，获得储备：142572,来源代号知了先锋，储备余额349348290
2021-06-27 获得经验：8281152,来源代号知了先锋
2021-06-27 余额349348290，获得储备：142572,来源代号知了先锋，储备余额349490862
2021-06-27 获得经验：8281152,来源代号知了先锋
2021-06-27 余额349490862，获得储备：142572,来源代号知了先锋，储备余额349633434
2021-06-27 余额2541276，获得银子：20000,来源代号出售附魔宝珠，银子余额2561276
2021-06-27 余额2561276，获得银子：20000,来源代号出售光芒石，银子余额2581276
2021-06-27 余额2581276，获得银子：20000,来源代号出售蓝宝石，银子余额2601276
2021-06-27 余额2601276，获得银子：100000,来源代号出售魔兽要诀，银子余额2701276
2021-06-27 余额2701276，获得银子：20000,来源代号出售红玛瑙，银子余额2721276
2021-06-27 余额2721276，获得银子：40000,来源代号出售超级金柳露，银子余额2761276
2021-06-27 余额2761276，获得银子：10000,来源代号出售朱雀石，银子余额2771276
2021-06-27 获得经验：8281152,来源代号知了先锋
2021-06-27 余额349633434，获得储备：142572,来源代号知了先锋，储备余额349776006
2021-06-27 获得经验：8281152,来源代号知了先锋
2021-06-27 余额349776006，获得储备：142572,来源代号知了先锋，储备余额349918578
2021-06-27 获得经验：8281152,来源代号知了先锋
2021-06-27 余额349918578，获得储备：142572,来源代号知了先锋，储备余额350061150
2021-06-27 获得经验：8281152,来源代号知了先锋
2021-06-27 余额350061150，获得储备：142572,来源代号知了先锋，储备余额350203722
2021-06-27 获得经验：8661344,来源代号知了小王
2021-06-27 余额350203722，获得储备：166334,来源代号知了小王，储备余额350370056
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额350370056，获得储备：190096,来源代号知了大王，储备余额350560152
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额350560152，获得储备：190096,来源代号知了大王，储备余额350750248
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额350750248，获得储备：190096,来源代号知了大王，储备余额350940344
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额350940344，获得储备：190096,来源代号知了大王，储备余额351130440
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额351130440，获得储备：190096,来源代号知了大王，储备余额351320536
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额351320536，获得储备：190096,来源代号知了大王，储备余额351510632
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额351510632，获得储备：190096,来源代号知了大王，储备余额351700728
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额351700728，获得储备：190096,来源代号知了大王，储备余额351890824
2021-06-27 获得经验：1425720,来源代号夏日炎炎
2021-06-27 获得经验：1425720,来源代号夏日炎炎
2021-06-27 获得经验：9564300,来源代号知了统领
2021-06-27 余额351890824，获得储备：213858,来源代号知了统领，储备余额352104682
2021-06-27 获得经验：9564300,来源代号知了统领
2021-06-27 余额352104682，获得储备：213858,来源代号知了统领，储备余额352318540
2021-06-27 获得经验：9564300,来源代号知了统领
2021-06-27 余额352318540，获得储备：213858,来源代号知了统领，储备余额352532398
2021-06-27 获得经验：8661344,来源代号知了小王
2021-06-27 余额352532398，获得储备：166334,来源代号知了小王，储备余额352698732
2021-06-27 获得经验：9564300,来源代号知了统领
2021-06-27 余额352698732，获得储备：213858,来源代号知了统领，储备余额352912590
2021-06-27 获得经验：8661344,来源代号知了小王
2021-06-27 余额352912590，获得储备：166334,来源代号知了小王，储备余额353078924
2021-06-27 获得经验：8661344,来源代号知了小王
2021-06-27 余额353078924，获得储备：166334,来源代号知了小王，储备余额353245258
2021-06-27 获得经验：9564300,来源代号知了统领
2021-06-27 余额353245258，获得储备：213858,来源代号知了统领，储备余额353459116
