日志创建2021-06-28 余额109582964，失去银子：100000,来源代号商城，银子余额109482964
2021-06-28 余额104082964，失去银子：100000,来源代号商城，银子余额103982964
2021-06-28 余额103982964，失去银子：100000,来源代号商城，银子余额103882964
2021-06-28 余额103882964，失去银子：100000,来源代号商城，银子余额103782964
2021-06-28 余额103782964，失去银子：100000,来源代号商城，银子余额103682964
2021-06-28 余额103682964，获得银子：20000,来源代号出售黑宝石，银子余额103702964
2021-06-28 余额103702964，失去银子：4800000,来源代号商城，银子余额98902964
2021-06-28 余额98902964，失去银子：4800000,来源代号商城，银子余额94102964
2021-06-28 余额94102964，失去银子：4800000,来源代号商城，银子余额89302964
2021-06-28 余额89302964，失去银子：4800000,来源代号商城，银子余额84502964
2021-06-28 余额84502964，失去银子：4800000,来源代号商城，银子余额79702964
2021-06-28 余额79702964，失去银子：4800000,来源代号商城，银子余额74902964
2021-06-28 余额74902964，失去银子：4800000,来源代号商城，银子余额70102964
2021-06-28 余额70102964，失去银子：4800000,来源代号商城，银子余额65302964
2021-06-28 余额65302964，失去银子：4800000,来源代号商城，银子余额60502964
2021-06-28 余额60502964，失去银子：100000,来源代号商城，银子余额60402964
2021-06-28 余额60402964，失去银子：100000,来源代号商城，银子余额60302964
2021-06-28 余额60302964，失去银子：100000,来源代号商城，银子余额60202964
2021-06-28 余额60202964，失去银子：100000,来源代号商城，银子余额60102964
2021-06-28 余额60102964，失去银子：100000,来源代号商城，银子余额60002964
2021-06-28 余额60002964，失去银子：100000,来源代号商城，银子余额59902964
2021-06-28 余额59902964，失去银子：100000,来源代号商城，银子余额59802964
2021-06-28 余额59802964，失去银子：100000,来源代号商城，银子余额59702964
2021-06-28 余额59702964，失去银子：100000,来源代号商城，银子余额59602964
2021-06-28 余额59602964，失去银子：100000,来源代号商城，银子余额59502964
2021-06-28 余额59502964，失去银子：100000,来源代号商城，银子余额59402964
2021-06-28 余额59402964，失去银子：100000,来源代号商城，银子余额59302964
2021-06-28 余额59302964，失去银子：100000,来源代号商城，银子余额59202964
2021-06-28 余额59202964，失去银子：100000,来源代号商城，银子余额59102964
2021-06-28 余额59102964，失去银子：100000,来源代号商城，银子余额59002964
2021-06-28 余额59002964，失去银子：100000,来源代号商城，银子余额58902964
2021-06-28 余额58902964，失去银子：100000,来源代号商城，银子余额58802964
2021-06-28 余额58802964，失去银子：100000,来源代号商城，银子余额58702964
2021-06-28 余额58702964，失去银子：100000,来源代号商城，银子余额58602964
2021-06-28 余额58602964，失去银子：100000,来源代号商城，银子余额58502964
2021-06-28 余额58502964，失去银子：100000,来源代号商城，银子余额58402964
2021-06-28 余额58402964，失去银子：100000,来源代号商城，银子余额58302964
2021-06-28 余额58302964，失去银子：100000,来源代号商城，银子余额58202964
2021-06-28 余额58202964，失去银子：100000,来源代号商城，银子余额58102964
2021-06-28 余额58102964，失去银子：100000,来源代号商城，银子余额58002964
2021-06-28 余额58002964，失去银子：100000,来源代号商城，银子余额57902964
2021-06-28 余额57902964，失去银子：100000,来源代号商城，银子余额57802964
2021-06-28 余额57802964，失去银子：100000,来源代号商城，银子余额57702964
2021-06-28 余额57702964，失去银子：100000,来源代号商城，银子余额57602964
2021-06-28 余额57602964，失去银子：100000,来源代号商城，银子余额57502964
2021-06-28 余额57502964，失去银子：100000,来源代号商城，银子余额57402964
2021-06-28 余额57402964，失去银子：4800000,来源代号商城，银子余额52602964
2021-06-28 余额52602964，失去银子：4800000,来源代号商城，银子余额47802964
2021-06-28 余额47802964，失去银子：4800000,来源代号商城，银子余额43002964
2021-06-28 余额43002964，失去银子：4800000,来源代号商城，银子余额38202964
2021-06-28 余额38202964，失去银子：4800000,来源代号商城，银子余额33402964
2021-06-28 余额33402964，失去银子：4800000,来源代号商城，银子余额28602964
2021-06-28 余额28602964，失去银子：4800000,来源代号商城，银子余额23802964
2021-06-28 获得经验：9937382,来源代号知了先锋
2021-06-28 余额343172996，获得储备：142572,来源代号知了先锋，储备余额343315568
2021-06-28 [给予]获得(zhouhong1)道具：擒龙
2021-06-28 取钱-取出数额:99999999
2021-06-28 取钱-银子-之前金额:23802964
2021-06-28 取钱-存银-之前金额:2300000000
2021-06-28 取钱-银子-取后金额:123802963
2021-06-28 取钱-存银-取后金额:2200000001
2021-06-28 取钱-取出数额:1
2021-06-28 取钱-银子-之前金额:123802963
2021-06-28 取钱-存银-之前金额:2200000001
2021-06-28 取钱-银子-取后金额:123802964
2021-06-28 取钱-存银-取后金额:2200000000
2021-06-28 [给予]给予(zhouhong1)道具：擒龙
2021-06-28 [给予]给予(zhouhong1)银子：1000000
2021-06-28 [给予]给予(zhouhong1)银子：1000000
2021-06-28 [给予]给予(zhouhong1)银子：1000000
2021-06-28 [给予]获得(zhouhong1)道具：擒龙
2021-06-29 余额120802964，失去银子：2000,来源代号22，银子余额120800964
2021-06-29 余额120800964，失去银子：2000,来源代号22，银子余额120798964
2021-06-29 余额120798964，失去银子：2000,来源代号22，银子余额120796964
2021-06-29 余额120796964，失去银子：2000,来源代号22，银子余额120794964
2021-06-29 余额120794964，失去银子：2000,来源代号22，银子余额120792964
2021-06-29 余额120792964，失去银子：2000,来源代号22，银子余额120790964
2021-06-29 [给予]获得(zhouhong1)道具：鸣鸿
2021-06-29 余额120790964，失去银子：2000,来源代号22，银子余额120788964
2021-06-29 余额120788964，失去银子：2000,来源代号22，银子余额120786964
2021-06-29 余额120786964，失去银子：2000,来源代号22，银子余额120784964
2021-06-29 余额120784964，失去银子：2000,来源代号22，银子余额120782964
2021-06-29 余额120782964，失去银子：2000,来源代号22，银子余额120780964
2021-06-29 余额120780964，失去银子：45000000,来源代号12，银子余额75780964
2021-06-29 [交易]给予aa2458895的45000000两银子
2021-06-29 [交易]获得aa2458895的战魄
2021-06-29 [给予]给予(695769543)道具：战魄
2021-06-29 [给予]给予(695769543)道具：刀·元身
2021-06-29 余额75780964，失去银子：9899901,来源代号商城，银子余额65881063
2021-06-29 余额65881063，失去银子：9899901,来源代号商城，银子余额55981162
2021-06-29 余额55981162，失去银子：199998,来源代号商城，银子余额55781164
2021-06-29 [给予]给予(695769543)道具：朱雀石
2021-06-29 [给予]给予(695769543)道具：朱雀石
2021-06-29 [给予]给予(695769543)道具：朱雀石
2021-06-29 [给予]获得(glzhouhong)道具：神之符
2021-06-29 [给予]获得(695769543)道具：鸣鸿
2021-06-29 [给予]给予(695769543)银子：10000000
2021-06-29 余额45781164，失去银子：80000,来源代号商城，银子余额45701164
2021-06-29 扣除200仙玉来源祈福
2021-06-29 扣除200仙玉来源祈福
2021-06-29 扣除200仙玉来源祈福
2021-06-29 扣除200仙玉来源祈福
