日志创建2021-06-26 余额7446164，失去银子：2000,来源代号22，银子余额7444164
2021-06-27 余额6612551，获得银子：20000,来源代号出售附魔宝珠，银子余额6632551
2021-06-27 余额6632551，获得银子：20000,来源代号出售附魔宝珠，银子余额6652551
2021-06-27 余额6652551，获得银子：20000,来源代号出售符石卷轴，银子余额6672551
2021-06-27 余额6672551，获得银子：20000,来源代号出售附魔宝珠，银子余额6692551
2021-06-27 获得经验：10963900,来源代号知了大王
2021-06-27 余额101772495，获得储备：190096,来源代号知了大王，储备余额101962591
2021-06-27 获得经验：10963900,来源代号知了大王
2021-06-27 余额101962591，获得储备：190096,来源代号知了大王，储备余额102152687
2021-06-27 获得经验：11420131,来源代号千年知了王
2021-06-27 余额102152687，获得储备：213858,来源代号千年知了王，储备余额102366545
2021-06-27 获得经验：11420131,来源代号千年知了王
2021-06-27 余额102366545，获得储备：213858,来源代号千年知了王，储备余额102580403
2021-06-27 获得经验：11420131,来源代号千年知了王
2021-06-27 余额102580403，获得储备：213858,来源代号千年知了王，储备余额102794261
2021-06-27 [给予]获得(zhouhong1)道具：召唤兽内丹
2021-06-27 获得经验：11420131,来源代号千年知了王
2021-06-27 余额102794261，获得储备：213858,来源代号千年知了王，储备余额103008119
2021-06-27 获得经验：11420131,来源代号千年知了王
2021-06-27 余额103008119，获得储备：213858,来源代号千年知了王，储备余额103221977
2021-06-27 获得经验：10963900,来源代号知了大王
2021-06-27 余额103221977，获得储备：190096,来源代号知了大王，储备余额103412073
2021-06-27 获得经验：10963900,来源代号知了大王
2021-06-27 余额103412073，获得储备：190096,来源代号知了大王，储备余额103602169
2021-06-27 获得经验：10963900,来源代号知了大王
2021-06-27 余额103602169，获得储备：190096,来源代号知了大王，储备余额103792265
2021-06-27 获得经验：10963900,来源代号知了大王
2021-06-27 余额103792265，获得储备：190096,来源代号知了大王，储备余额103982361
2021-06-27 获得经验：10963900,来源代号知了大王
2021-06-27 余额103982361，获得储备：190096,来源代号知了大王，储备余额104172457
2021-06-27 获得经验：10963900,来源代号知了大王
2021-06-27 余额104172457，获得储备：190096,来源代号知了大王，储备余额104362553
2021-06-27 余额6692551，获得银子：20000,来源代号出售附魔宝珠，银子余额6712551
2021-06-27 余额6712551，获得银子：20000,来源代号出售太阳石，银子余额6732551
2021-06-27 余额6732551，获得银子：20000,来源代号出售符石卷轴，银子余额6752551
