日志创建2021-06-27 余额3614149，获得银子：769878,来源代号嘉年华，银子余额4384027
2021-06-27 余额133274448，获得储备：213858,来源代号千年知了王，储备余额133488306
2021-06-27 获得经验：19033552,来源代号千年知了王
2021-06-27 余额133488306，获得储备：213858,来源代号千年知了王，储备余额133702164
2021-06-27 获得经验：19033552,来源代号千年知了王
2021-06-27 余额133702164，获得储备：213858,来源代号千年知了王，储备余额133916022
2021-06-27 [给予]给予(zhouhong1)道具：召唤兽内丹
2021-06-27 获得经验：19033552,来源代号千年知了王
2021-06-27 余额133916022，获得储备：213858,来源代号千年知了王，储备余额134129880
2021-06-27 获得经验：19033552,来源代号千年知了王
2021-06-27 余额134129880，获得储备：213858,来源代号千年知了王，储备余额134343738
2021-06-27 获得经验：18273168,来源代号知了大王
2021-06-27 余额134343738，获得储备：190096,来源代号知了大王，储备余额134533834
2021-06-27 获得经验：18273168,来源代号知了大王
2021-06-27 余额134533834，获得储备：190096,来源代号知了大王，储备余额134723930
2021-06-27 获得经验：18273168,来源代号知了大王
2021-06-27 余额134723930，获得储备：190096,来源代号知了大王，储备余额134914026
2021-06-27 获得经验：18273168,来源代号知了大王
2021-06-27 余额134914026，获得储备：190096,来源代号知了大王，储备余额135104122
2021-06-27 获得经验：18273168,来源代号知了大王
2021-06-27 余额135104122，获得储备：190096,来源代号知了大王，储备余额135294218
2021-06-27 获得经验：18273168,来源代号知了大王
2021-06-27 余额135294218，获得储备：190096,来源代号知了大王，储备余额135484314
2021-06-27 获得经验：9516776,来源代号千年知了王
2021-06-27 余额135484314，获得储备：213858,来源代号千年知了王，储备余额135698172
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额135698172，获得储备：190096,来源代号知了大王，储备余额135888268
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额135888268，获得储备：190096,来源代号知了大王，储备余额136078364
2021-06-27 获得经验：8281152,来源代号知了先锋
2021-06-27 余额136078364，获得储备：142572,来源代号知了先锋，储备余额136220936
2021-06-27 获得经验：8281152,来源代号知了先锋
2021-06-27 余额136220936，获得储备：142572,来源代号知了先锋，储备余额136363508
2021-06-27 获得经验：8281152,来源代号知了先锋
2021-06-27 余额136363508，获得储备：142572,来源代号知了先锋，储备余额136506080
2021-06-27 获得经验：8281152,来源代号知了先锋
2021-06-27 余额136506080，获得储备：142572,来源代号知了先锋，储备余额136648652
2021-06-27 获得经验：8281152,来源代号知了先锋
2021-06-27 余额136648652，获得储备：142572,来源代号知了先锋，储备余额136791224
2021-06-27 获得经验：8281152,来源代号知了先锋
2021-06-27 余额136791224，获得储备：142572,来源代号知了先锋，储备余额136933796
2021-06-27 获得经验：8281152,来源代号知了先锋
2021-06-27 余额136933796，获得储备：142572,来源代号知了先锋，储备余额137076368
2021-06-27 获得经验：8281152,来源代号知了先锋
2021-06-27 余额137076368，获得储备：142572,来源代号知了先锋，储备余额137218940
2021-06-27 余额4624027，获得银子：100000,来源代号出售魔兽要诀，银子余额4724027
2021-06-27 余额4724027，获得银子：20000,来源代号出售符石卷轴，银子余额4744027
2021-06-27 余额4744027，获得银子：20000,来源代号出售红玛瑙，银子余额4764027
2021-06-27 余额4764027，获得银子：10000,来源代号出售白虎石，银子余额4774027
2021-06-27 余额4774027，获得银子：40000,来源代号出售超级金柳露，银子余额4814027
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额137218940，获得储备：190096,来源代号知了大王，储备余额137409036
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额137409036，获得储备：190096,来源代号知了大王，储备余额137599132
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额137599132，获得储备：190096,来源代号知了大王，储备余额137789228
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额137789228，获得储备：190096,来源代号知了大王，储备余额137979324
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额137979324，获得储备：190096,来源代号知了大王，储备余额138169420
2021-06-27 获得经验：9136584,来源代号知了大王
2021-06-27 余额138169420，获得储备：190096,来源代号知了大王，储备余额138359516
2021-06-27 余额4814027，失去银子：240701,来源代号19，银子余额4573326
2021-06-27 获得经验：10648000,来源代号地煞
2021-06-27 余额138359516，获得储备：487200,来源代号地煞，储备余额138846716
2021-06-27 余额138846716，失去银子：541088,来源代号技能学习，储备余额138305628
2021-06-27 余额138305628，失去银子：561540,来源代号技能学习，储备余额137744088
2021-06-27 余额137744088，失去银子：582566,来源代号技能学习，储备余额137161522
2021-06-27 余额137161522，失去银子：604174,来源代号技能学习，储备余额136557348
2021-06-27 余额136557348，失去银子：626376,来源代号技能学习，储备余额135930972
2021-06-27 余额135930972，失去银子：649184,来源代号技能学习，储备余额135281788
2021-06-27 余额135281788，失去银子：672606,来源代号技能学习，储备余额134609182
2021-06-27 余额134609182，失去银子：696656,来源代号技能学习，储备余额133912526
2021-06-27 余额133912526，失去银子：721344,来源代号技能学习，储备余额133191182
2021-06-27 余额133191182，失去银子：746678,来源代号技能学习，储备余额132444504
2021-06-27 余额132444504，失去银子：772674,来源代号技能学习，储备余额131671830
2021-06-27 余额131671830，失去银子：799342,来源代号技能学习，储备余额130872488
2021-06-27 余额130872488，失去银子：826692,来源代号技能学习，储备余额130045796
2021-06-27 余额130045796，失去银子：854736,来源代号技能学习，储备余额129191060
2021-06-27 余额129191060，失去银子：883486,来源代号技能学习，储备余额128307574
2021-06-27 余额128307574，失去银子：912954,来源代号技能学习，储备余额127394620
2021-06-27 余额127394620，失去银子：943152,来源代号技能学习，储备余额126451468
2021-06-27 余额126451468，失去银子：974090,来源代号技能学习，储备余额125477378
2021-06-27 余额125477378，失去银子：1005782,来源代号技能学习，储备余额124471596
2021-06-27 余额124471596，失去银子：1038240,来源代号技能学习，储备余额123433356
2021-06-27 余额123433356，失去银子：1071474,来源代号技能学习，储备余额122361882
2021-06-27 获得经验：845000,来源代号封妖
2021-06-27 [给予]给予(zhouhong1)道具：上古锻造图策
2021-06-27 [给予]获得(zhouhong1)道具：九曲环
