日志创建2021-06-28 余额736827，获得银子：20000,来源代号出售天眼珠，银子余额756827
2021-06-29 余额374191935，获得储备：190096,来源代号知了大王，储备余额374382031
2021-06-29 获得经验：9136584,来源代号知了大王
2021-06-29 余额374382031，获得储备：190096,来源代号知了大王，储备余额374572127
2021-06-29 余额1809827，获得银子：20000,来源代号出售符石卷轴，银子余额1829827
2021-06-29 余额1829827，获得银子：20000,来源代号出售符石卷轴，银子余额1849827
2021-06-29 余额1849827，获得银子：20000,来源代号出售附魔宝珠，银子余额1869827
2021-06-29 余额1869827，获得银子：10000,来源代号出售青龙石，银子余额1879827
2021-06-29 余额1879827，获得银子：100000,来源代号出售魔兽要诀，银子余额1979827
2021-06-29 余额1979827，获得银子：82796,来源代号出售圣王坠，银子余额2062623
2021-06-29 余额2062623，获得银子：82378,来源代号出售万里追云履，银子余额2145001
2021-06-29 余额2145001，获得银子：82948,来源代号出售黑魔冠，银子余额2227949
2021-06-29 [交易]给予46907575的
2021-06-29 获得经验：9136584,来源代号知了大王
2021-06-29 余额374572127，获得储备：190096,来源代号知了大王，储备余额374762223
2021-06-29 获得经验：9136584,来源代号知了大王
2021-06-29 余额374762223，获得储备：190096,来源代号知了大王，储备余额374952319
2021-06-29 获得经验：9136584,来源代号知了大王
2021-06-29 余额374952319，获得储备：190096,来源代号知了大王，储备余额375142415
2021-06-29 获得经验：9136584,来源代号知了大王
2021-06-29 余额375142415，获得储备：190096,来源代号知了大王，储备余额375332511
2021-06-29 获得经验：9136584,来源代号知了大王
2021-06-29 余额375332511，获得储备：190096,来源代号知了大王，储备余额375522607
2021-06-29 获得经验：9136584,来源代号知了大王
2021-06-29 余额375522607，获得储备：190096,来源代号知了大王，储备余额375712703
2021-06-29 [交易]获得46907575的111
2021-06-29 获得经验：9136584,来源代号知了大王
2021-06-29 余额375712703，获得储备：190096,来源代号知了大王，储备余额375902799
2021-06-29 获得经验：1425720,来源代号妖魔
2021-06-29 余额375902799，获得储备：500000,来源代号妖魔，储备余额376402799
2021-06-29 获得经验：9136584,来源代号知了大王
2021-06-29 余额376402799，获得储备：190096,来源代号知了大王，储备余额376592895
2021-06-29 获得经验：9136584,来源代号知了大王
2021-06-29 余额376592895，获得储备：190096,来源代号知了大王，储备余额376782991
2021-06-29 获得经验：9516776,来源代号千年知了王
2021-06-29 余额376782991，获得储备：213858,来源代号千年知了王，储备余额376996849
2021-06-29 获得经验：9136584,来源代号知了大王
2021-06-29 余额376996849，获得储备：190096,来源代号知了大王，储备余额377186945
2021-06-29 获得经验：9136584,来源代号知了大王
2021-06-29 余额377186945，获得储备：190096,来源代号知了大王，储备余额377377041
2021-06-29 获得经验：9136584,来源代号知了大王
2021-06-29 余额377377041，获得储备：190096,来源代号知了大王，储备余额377567137
2021-06-29 获得经验：9516776,来源代号千年知了王
2021-06-29 余额377567137，获得储备：213858,来源代号千年知了王，储备余额377780995
2021-06-29 获得经验：3974,来源代号野外
2021-06-29 获得经验：2782,来源代号野外
2021-06-29 余额2227949，失去银子：2813,来源代号7，银子余额2225136
2021-06-29 余额2225136，失去银子：0,来源代号7，银子余额2225136
2021-06-29 余额2225136，失去银子：0,来源代号7，银子余额2225136
2021-06-29 余额2225136，获得银子：35000,来源代号仙气十足，银子余额2260136
2021-06-29 获得经验：1425720,来源代号仙气十足
2021-06-29 获得经验：182,来源代号野外
2021-06-29 获得经验：90,来源代号野外
2021-06-29 余额2260136，失去银子：1000,来源代号5，银子余额2259136
2021-06-29 获得经验：90,来源代号野外
